Date/Time,Media Description,Media Link
"You uploaded a video on March 30, 2026 at 7:22 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQH2ZQyZBCv7uw/BAQXOn7GOo?e=1778533200&v=beta&t=UFzRsYk-qbUF5iYSlPfN5wxmtdckQ10eRCNJzJxOd68
"You uploaded a video on November 5, 2025 at 3:44 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHYY0rI-QTQAA/BAQ-c43PTy8?e=1778533200&v=beta&t=n8VdrrttXfQtKZQiJtwbDlVE3SP1e2WDapT1f7DTcus
"You uploaded a video on November 4, 2025 at 10:05 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQEzPXIOw0jBgA/BAQcTaDhBHB?e=1778533200&v=beta&t=5I2_HZy3bBOZPig5SozQgmqfYtGRzlV1j1RLwoxtyjw
"You uploaded a video on October 28, 2025 at 4:59 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHkW6KdBoQjZg/BAQOnjQlH5Onw?e=1778533200&v=beta&t=7LgOFZUG7FO2sGk0Yo3q1UCJYGfc9KqFABEAYYWmFQQ
"You uploaded a video on October 24, 2025 at 8:57 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGGYH0JWo4Dsw/BAQRRyUhl_i?e=1778533200&v=beta&t=HRdPwcCGO2r7f1hRHrieQoRn9Ca20HQr6kG5Gve4Yl4
"You uploaded a video on October 18, 2025 at 5:48 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGhOXSCnQGUJA/BAQLJ1xcJhX?e=1778533200&v=beta&t=IhOrvUw1fId5yD4OMDccV5KkXhmLwF68C1T_EQIBVbM
"You uploaded a feed document on October 16, 2025 at 10:47 PM (GMT)","Ecotechnology-UAE presents its Public?Private?Academic Partnership Framework a national model for sustainable waste management and circular economy implementation across UAE municipalities.

#Sustainability #CircularEconomy #EcoTechUAE #PublicPrivatePartnerships #UAE2030",https://media.licdn.com/dms/document/media/v2/D4D1FAQHeVb23I74fdQ/feedshare-document-sanitized-pdf/B4DZnvNUUUGkA8-/0/1760654871498?e=1778533200&v=beta&t=WQXW-K6AQNOHqfoM2aR1hip1M8LLOetV1GaOalivIoI
"You uploaded a video on October 16, 2025 at 6:06 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQEcbw6OplMD-w/BAQnv4a6Ss?e=1778533200&v=beta&t=R_1JPJhfILmVQhD8JfwIVE74PGE-QP9YQAS_KfvdIbc
"You uploaded a video on October 14, 2025 at 6:19 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQFMyJSQdpiItg/BAQQq4pbfdK?e=1778533200&v=beta&t=Jb3388FmlfosAGHe6AeQy7pBqb_AtomDK8cKaIip8gc
"You uploaded a video on October 13, 2025 at 10:23 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGEntEzLTwVOA/BAQslxX6MTx?e=1778533200&v=beta&t=FnupBnr8c-7sBmnBn-aTmBtW4OZTIdjr-HarowSH0yg
